magnitud,lugar,lat,lon,profundidad,fecha,tipo
4.2,"42 km NE of Castlepoint, New Zealand",-40.6255,176.5624,20.449,2025-12-03 20:17,Terremoto
2.03,"8 km ESE of Ash Flat, Arkansas",36.1913333333333,-91.5173333333333,13.91,2025-12-03 20:05,Terremoto
2.02,"42 km WSW of Olancha, CA",36.14,-118.440166666667,7.34,2025-12-03 20:04,Terremoto
2.25,"6 km WNW of Cobb, CA",38.836498260498,-122.793334960938,1.87999999523163,2025-12-03 19:48,Terremoto
4.5,"38 km NNE of Castlepoint, New Zealand",-40.5653,176.3535,27.515,2025-12-03 19:47,Terremoto
2.6,"42 km WSW of Olancha, CA",36.1353333333333,-118.440166666667,6.29,2025-12-03 19:35,Terremoto
2.101946093743984,"45 km ESE of Pedro Bay, Alaska",59.60905456542969,-153.37335205078125,111.33678436279297,2025-12-03 18:57,Terremoto
2.43,"31 km ENE of Gabbs, Nevada",38.9824,-117.587,12.9749,2025-12-03 18:12,Terremoto
2.229064155990307,"39 km WNW of Skwentna, Alaska",62.15293884277344,-152.06678771972656,102.64005279541016,2025-12-03 17:46,Terremoto
2.0,"59 km S of Whites City, New Mexico",31.646,-104.445,6.0999,2025-12-03 17:24,Terremoto
2.2,"46 km NW of Toyah, Texas",31.622,-104.121,6.0999,2025-12-03 17:16,Terremoto
2.0368110384885445,"54 km WNW of Happy Valley, Alaska",60.05000686645508,-152.6818389892578,106.09072875976562,2025-12-03 14:55,Terremoto
3.51,"102 km NNE of Punta Cana, Dominican Republic",19.4878,-68.2108,76.0,2025-12-03 14:51,Terremoto
4.7,"224 km E of Kokopo, Papua New Guinea",-4.52,154.2809,10.0,2025-12-03 14:36,Terremoto
2.51,"10 km ESE of Loco, Oklahoma",34.287,-97.5805,10.09,2025-12-03 13:49,Terremoto
2.69,"21 km SW of Toms Place, CA",37.428165435791,-118.851997375488,6.3899998664856,2025-12-03 12:18,Terremoto
2.0857846939747193,"25 km WSW of Cantwell, Alaska",63.26847076416016,-149.3885498046875,78.14580535888672,2025-12-03 11:54,Terremoto
2.22,"0 km E of Madera, CA",36.9616661071777,-120.0556640625,21.8899993896484,2025-12-03 11:20,Terremoto
2.478119601385707,"78 km E of Ugashik, Alaska",57.61492538452148,-156.103271484375,97.44645690917969,2025-12-03 10:32,Terremoto
3.2,"42 km WSW of Olancha, CA",36.138,-118.44,6.89,2025-12-03 10:18,Terremoto
4.451483061928972,"81 km ESE of Chignik, Alaska",56.05329132080078,-157.1608428955078,28.560338973999023,2025-12-03 10:17,Terremoto
4.7,"81 km SSW of La Esperanza (El Zapotal), Mexico",14.7343,-93.349,35.0,2025-12-03 09:59,Terremoto
2.59,"1 km NNW of Cooter, Missouri",36.0605,-89.8175,8.95,2025-12-03 09:50,Terremoto
4.2,"185 km WSW of Adak, Alaska",51.2347,-179.1053,35.0,2025-12-03 08:39,Terremoto
2.1506824196730183,"11 km W of Anchorage, Alaska",61.21426010131836,-150.1132354736328,28.38583755493164,2025-12-03 08:19,Terremoto
4.1,"79 km WSW of Vallenar, Chile",-28.8516,-71.5091,28.498,2025-12-03 07:54,Terremoto
2.0457385798898557,"45 km N of Valdez, Alaska",61.5400505065918,-146.3375244140625,27.31275749206543,2025-12-03 07:35,Terremoto
2.2744951565173905,"86 km ESE of Denali Park, Alaska",63.5452880859375,-147.21237182617188,5.0,2025-12-03 07:18,Terremoto
2.0254588871153887,"38 km W of Kalifornsky, Alaska",60.44786071777344,-151.99053955078125,85.90679168701172,2025-12-03 06:49,Terremoto
2.919167267441528,"13 km NW of Susitna, Alaska",61.63165664672852,-150.69903564453125,61.43146896362305,2025-12-03 06:03,Terremoto
2.08,"7 km SE of Deep Springs, CA",37.3248329162598,-117.923164367676,-0.649999976158142,2025-12-03 05:30,Terremoto
2.0576299733012227,"27 km NE of Skwentna, Alaska",62.19318008422852,-151.10287475585938,0.0,2025-12-03 04:25,Terremoto
4.6,"216 km SSW of Bambanglipuro, Indonesia",-9.8095,109.6693,10.0,2025-12-03 04:06,Terremoto
2.377949898050434,"19 km ESE of Clam Gulch, Alaska",60.17923736572266,-151.06394958496094,63.72944259643555,2025-12-03 03:19,Terremoto
2.3757960462210366,"96 km E of McCarthy, Alaska",61.58877563476562,-141.13604736328125,5.0,2025-12-03 02:39,Terremoto
4.3,"96 km SE of Burica, Panama",7.3531,-82.3216,10.0,2025-12-03 01:44,Terremoto
2.82,"6 km WSW of Kenwood, CA",38.3983345031738,-122.611831665039,1.00999999046326,2025-12-03 00:23,Terremoto
2.2,"46 km NW of Toyah, Texas",31.624,-104.124,6.0999,2025-12-03 00:13,Terremoto
2.85,"5 km WSW of Ojai, CA",34.429,-119.297,9.46,2025-12-03 00:05,Terremoto
2.03,"17 km S of Waikoloa, Hawaii",19.782,-155.808333333333,24.72,2025-12-02 23:43,Terremoto
2.4416375017895313,"50 km NW of Ninilchik, Alaska",60.36349105834961,-152.32395935058594,88.48883056640625,2025-12-02 23:32,Terremoto
2.0844157041049525,"29 km N of Ivanof Bay, Alaska",56.16640472412109,-159.46983337402344,24.068164825439453,2025-12-02 23:04,Terremoto
4.5,"217 km E of Levuka, Fiji",-17.8469,-178.6455,548.159,2025-12-02 22:57,Terremoto
4.0,"89 km NW of Talcahuano, Chile",-36.1478,-73.8134,36.42,2025-12-02 22:53,Terremoto
3.76,"107 km N of Suárez, Puerto Rico",19.3886,-65.6903,55.0,2025-12-02 22:52,Terremoto
4.3,"93 km NW of Talcahuano, Chile",-36.0812,-73.7875,22.237,2025-12-02 22:42,Terremoto
4.1,"74 km NW of Talcahuano, Chile",-36.206,-73.6516,27.284,2025-12-02 22:26,Terremoto
2.241104495907658,"67 km N of Petersville, Alaska",63.09960556030273,-150.76756286621094,111.03374481201172,2025-12-02 22:20,Terremoto
2.023401199848743,"22 km N of Susitna, Alaska",61.74803924560547,-150.4956817626953,56.85832595825195,2025-12-02 22:14,Terremoto
2.08,"14 km S of Princeton, Canada",49.330333333333336,-120.48766666666667,-0.51,2025-12-02 21:16,Terremoto
2.01515415635236,"21 km N of Barstow, CA",35.091,-117.033,-0.3,2025-12-02 21:12,Terremoto
2.1036046188868833,"57 km WNW of Happy Valley, Alaska",60.05671691894531,-152.73524475097656,111.65760803222656,2025-12-02 21:05,Terremoto
2.51,"7 km SE of Pole Ojea, Puerto Rico",17.9256666666667,-67.1338333333333,12.54,2025-12-02 21:00,Terremoto
2.17,"14 km NE of Milford, Utah",38.5076666666667,-112.915833333333,1.15,2025-12-02 20:47,Terremoto
2.04,"2 km ENE of Cholame, CA",35.7313346862793,-120.275169372559,4.23000001907349,2025-12-02 20:39,Terremoto
2.2,"0 km W of Indios, Puerto Rico",17.9936666666667,-66.8271666666667,14.84,2025-12-02 20:37,Terremoto
5.6,Fiji region,-20.8402,-178.964,630.985,2025-12-02 20:35,Terremoto
4.4,"69 km S of Pocito, Argentina",-32.31,-68.501,36.117,2025-12-02 20:28,Terremoto
4.9,"173 km NNW of Sola, Vanuatu",-12.4354,166.918,204.979,2025-12-02 19:57,Terremoto
2.143749845662233,"13 km N of Sutton-Alpine, Alaska",61.90034866333008,-148.72439575195312,0.7738538384437561,2025-12-02 19:41,Terremoto
3.2,"57 km S of Whites City, New Mexico",31.659,-104.382,6.0999,2025-12-02 19:34,Terremoto
2.26,"7 km S of Boonville, CA",38.943000793457,-123.359169006348,3.95000004768372,2025-12-02 19:27,Terremoto
2.39,"21 km N of Barstow, CA",35.0908333333333,-117.036166666667,0.95,2025-12-02 18:44,Terremoto
